Feature 1,Feature 2,Correlation
koi_dikco_mdec_err,koi_dikco_msky_err,0.9636758088679191
koi_dikco_mra_err,koi_dikco_msky_err,0.9591976872445224
koi_dikco_mra_err,koi_dicco_mra_err,0.9519973390477345
koi_dikco_mdec_err,koi_dicco_mdec_err,0.9510294990048851
koi_dikco_msky_err,koi_dicco_mdec_err,0.9214963443931448
koi_dikco_msky_err,koi_dicco_mra_err,0.9199113078453695
koi_dikco_mdec_err,koi_dikco_mra_err,0.9103895271391068
koi_dicco_mdec_err,koi_dicco_mra_err,0.8996851316213574
koi_dikco_mdec_err,koi_dicco_mra_err,0.8752306764415875
koi_dikco_mra_err,koi_dicco_mdec_err,0.874369211440297
koi_prad_err1,koi_prad,0.8370661234302575
koi_incl,koi_dor,0.8006842613519368
koi_max_sngle_ev,koi_model_snr,0.7925378978806615
koi_max_sngle_ev,koi_prad,0.7297723320005021
koi_prad,koi_model_snr,0.6949662073512002
koi_dor_err1,koi_period_err1,0.6916376733483683
koi_dor_err2,koi_period_err2,0.6916376733483683
koi_dor_err1,koi_dor,0.6614775367539981
koi_dor,koi_period_err1,0.6006154252607471
koi_prad_err1,koi_max_sngle_ev,0.5576563853799419
koi_period_err2,koi_model_snr,0.5558832986940452
koi_prad_err1,koi_model_snr,0.5237761076988786
koi_dikco_mdec_err,koi_prad_err2,0.4965691914528153
koi_dikco_mra_err,koi_prad_err2,0.4964739392327834
koi_period_err1,koi_dikco_msky_err,0.49580886814186603
koi_dikco_mdec_err,koi_period_err1,0.4955045631568672
koi_prad_err2,koi_dikco_msky_err,0.4940230100344178
koi_period_err1,koi_dikco_mra_err,0.49092192339488727
koi_srho_err2,koi_model_snr,0.4860935782402133
koi_prad_err2,koi_dicco_mdec_err,0.48071295160832656
koi_prad_err2,koi_dicco_mra_err,0.4796277831184596
koi_incl,koi_period_err1,0.4769037174211148
koi_period_err1,koi_dicco_mra_err,0.4739707501515183
koi_period_err1,koi_dicco_mdec_err,0.4730239411510047
koi_score,koi_fwm_stat_sig,0.47061804561510834
koi_srho_err2,koi_dor_err2,0.46341188317450016
koi_srho_err2,koi_prad_err1,0.4563245270321918
koi_srho_err2,koi_prad,0.44994047733705606
koi_dor_err2,koi_model_snr,0.4460274786741515
koi_fwm_stat_sig,koi_period_err1,0.4328545384753732
koi_score,koi_count,0.40625689236334844
koi_fwm_stat_sig,koi_dor_err1,0.380301273111455
koi_fwm_stat_sig,koi_dikco_mdec_err,0.3769581204521719
koi_fwm_stat_sig,koi_dikco_mra_err,0.37513220459205027
koi_dor_err1,koi_incl,0.3723635177076946
koi_fwm_stat_sig,koi_dikco_msky_err,0.36773383018789285
koi_score,koi_incl,0.36139380942910804
koi_srho_err2,koi_max_sngle_ev,0.3437807823207738
koi_fwm_stat_sig,koi_dicco_mdec_err,0.3406589436717211
koi_fwm_stat_sig,koi_dicco_mra_err,0.3388791786878289
koi_score,koi_prad_err2,0.32914893361263614
koi_fwm_stat_sig,koi_incl,0.3111023462585397
koi_score,koi_dor_err1,0.3106469750724944
koi_dor_err1,koi_dikco_mdec_err,0.30791037854828324
koi_dor_err1,koi_dikco_msky_err,0.307908531333932
koi_dor_err1,koi_dikco_mra_err,0.30519442354954673
koi_score,koi_dor,0.29995823960557727
koi_fwm_stat_sig,koi_dor,0.2993581577674127
koi_dor_err1,koi_dicco_mdec_err,0.2921548419915186
koi_dor_err1,koi_dicco_mra_err,0.2918699743458587
koi_fwm_stat_sig,koi_prad_err2,0.28379729237985907
koi_period_err2,koi_max_sngle_ev,0.25798807811911734
koi_fwm_stat_sig,koi_count,0.255793769609002
koi_dor,koi_max_sngle_ev,0.22668658379298293
koi_srho_err2,koi_period_err2,0.22125089844497897
koi_count,koi_prad_err2,0.215780888128302
koi_score,koi_period_err1,0.2150156603093722
koi_period_err2,koi_prad,0.20629652903453424
koi_dor_err2,koi_prad_err1,0.20345434769155288
koi_incl,koi_prad_err2,0.19995399313808132
koi_dor_err1,koi_prad_err2,0.19859403437905032
koi_prad_err1,koi_period_err2,0.18676692412485957
koi_incl,koi_count,0.18054745233485497
koi_period_err1,koi_prad_err2,0.17746071248008288
koi_dor_err1,koi_count,0.16483695620717184
koi_dor_err2,koi_prad,0.16209302789848518
koi_dor_err2,koi_max_sngle_ev,0.16141793123791048
koi_score,koi_dikco_mdec_err,0.1604864180980797
koi_count,koi_period_err1,0.16015034399467637
koi_count,koi_dor,0.15936857254005737
koi_score,koi_dikco_mra_err,0.15181553602578196
koi_incl,koi_dikco_mdec_err,0.14433062958298032
koi_count,koi_dikco_mdec_err,0.14373340605071036
koi_incl,koi_dikco_mra_err,0.14058840732222241
koi_incl,koi_dikco_msky_err,0.14018812288023258
koi_score,koi_dicco_mdec_err,0.13995905783329102
koi_score,koi_dikco_msky_err,0.1397741631913192
koi_count,koi_dikco_mra_err,0.13691022467126657
koi_count,koi_dicco_mdec_err,0.13323864643297506
koi_count,koi_dikco_msky_err,0.1291497270081663
koi_score,koi_dicco_mra_err,0.1285573854219492
koi_incl,koi_dicco_mra_err,0.12789009639126128
koi_incl,koi_dicco_mdec_err,0.12741530290210484
koi_count,koi_dicco_mra_err,0.12359759621778078
koi_dor,koi_prad,0.09108347913229915
koi_dor,koi_dikco_mdec_err,0.035373779335518316
koi_dor,koi_dikco_msky_err,0.030928951838016104
koi_dor,koi_dikco_mra_err,0.029547519477571497
koi_incl,koi_max_sngle_ev,0.02912249485053471
koi_dor,koi_dicco_mdec_err,0.024216596917657363
koi_dor,koi_dicco_mra_err,0.0209453099111607
koi_dor,koi_prad_err2,-0.00016219434960263672
koi_prad_err1,koi_dor,-0.010372310070707795
koi_count,koi_model_snr,-0.05816169383791472
koi_dor,koi_model_snr,-0.0855314022181342
koi_count,koi_max_sngle_ev,-0.0880916679830189
koi_score,koi_model_snr,-0.13200596087765035
koi_srho_err2,koi_count,-0.13511975319331546
koi_score,koi_max_sngle_ev,-0.1534045455763654
koi_count,koi_period_err2,-0.16015034399467637
koi_dor_err1,koi_max_sngle_ev,-0.16141793123791048
koi_dor_err1,koi_prad,-0.16209302789848518
koi_incl,koi_prad,-0.16352695179798032
koi_dor_err2,koi_count,-0.16483695620717184
koi_count,koi_prad,-0.1671763628635949
koi_period_err2,koi_prad_err2,-0.17746071248008288
koi_prad_err1,koi_period_err1,-0.18676692412485957
koi_dor_err2,koi_prad_err2,-0.19859403437905032
koi_incl,koi_model_snr,-0.19928735706188022
koi_dor_err1,koi_prad_err1,-0.20345434769155288
koi_period_err1,koi_prad,-0.20629652903453424
koi_incl,koi_prad_err1,-0.21172186468516585
koi_score,koi_period_err2,-0.2150156603093722
koi_srho_err2,koi_period_err1,-0.22125089844497897
koi_period_err1,koi_max_sngle_ev,-0.25798807811911734
koi_score,koi_prad,-0.264130732157849
koi_srho_err2,koi_dicco_mdec_err,-0.26434612153969655
koi_srho_err2,koi_dicco_mra_err,-0.27083791995764306
koi_srho_err2,koi_dikco_mdec_err,-0.27502764175001587
koi_srho_err2,koi_dikco_msky_err,-0.27727587304837475
koi_srho_err2,koi_dikco_mra_err,-0.28202438865944773
koi_prad_err1,koi_count,-0.2887815004567116
koi_fwm_stat_sig,koi_srho_err2,-0.291144940131111
koi_dor_err2,koi_dicco_mra_err,-0.2918699743458587
koi_dor_err2,koi_dicco_mdec_err,-0.2921548419915186
koi_fwm_stat_sig,koi_max_sngle_ev,-0.295956479331232
koi_dor_err2,koi_dikco_mra_err,-0.30519442354954673
koi_dor_err2,koi_dikco_msky_err,-0.307908531333932
koi_dor_err2,koi_dikco_mdec_err,-0.30791037854828324
koi_fwm_stat_sig,koi_prad_err1,-0.3083951191264726
koi_fwm_stat_sig,koi_prad,-0.3096967232535007
koi_score,koi_dor_err2,-0.3106469750724944
koi_score,koi_srho_err2,-0.3645663671948757
koi_score,koi_prad_err1,-0.3681433423922788
koi_fwm_stat_sig,koi_model_snr,-0.36815232213859056
koi_dor_err2,koi_incl,-0.3723635177076946
koi_fwm_stat_sig,koi_dor_err2,-0.380301273111455
koi_fwm_stat_sig,koi_period_err2,-0.4328545384753732
koi_dor_err1,koi_model_snr,-0.4460274786741515
koi_srho_err2,koi_dor,-0.45752059663516986
koi_srho_err2,koi_prad_err2,-0.4632057566769928
koi_srho_err2,koi_dor_err1,-0.46341188317450016
koi_period_err2,koi_dicco_mdec_err,-0.4730239411510047
koi_prad_err1,koi_dicco_mra_err,-0.4731794756890278
koi_period_err2,koi_dicco_mra_err,-0.4739707501515183
koi_incl,koi_period_err2,-0.4769037174211148
koi_prad_err1,koi_dicco_mdec_err,-0.4770992443956503
koi_prad_err1,koi_dikco_msky_err,-0.4901968043373908
koi_period_err2,koi_dikco_mra_err,-0.49092192339488727
koi_prad_err1,koi_dikco_mra_err,-0.4923628561597511
koi_prad_err1,koi_dikco_mdec_err,-0.4947333897086236
koi_dikco_mdec_err,koi_period_err2,-0.4955045631568672
koi_period_err2,koi_dikco_msky_err,-0.49580886814186603
koi_prad_err2,koi_model_snr,-0.5447222533928748
koi_period_err1,koi_model_snr,-0.5558832986940452
koi_prad_err2,koi_max_sngle_ev,-0.5688662738072977
koi_srho_err2,koi_incl,-0.5694638416576308
koi_prad,koi_dicco_mra_err,-0.5930876334996049
koi_prad,koi_dicco_mdec_err,-0.593514242435645
koi_dor,koi_period_err2,-0.6006154252607471
koi_dikco_msky_err,koi_prad,-0.6147450286033823
koi_dikco_mdec_err,koi_prad,-0.6160186465170358
koi_dikco_mra_err,koi_prad,-0.6170640933446329
koi_max_sngle_ev,koi_dicco_mdec_err,-0.6584819299546193
koi_dor_err2,koi_dor,-0.6614775367539981
koi_max_sngle_ev,koi_dicco_mra_err,-0.672426174223166
koi_dikco_mdec_err,koi_max_sngle_ev,-0.681423058489175
koi_dikco_msky_err,koi_max_sngle_ev,-0.6870850253137757
koi_dikco_mra_err,koi_max_sngle_ev,-0.6908999070055527
koi_dor_err2,koi_period_err1,-0.6916376733483683
koi_dor_err1,koi_period_err2,-0.6916376733483683
koi_dicco_mdec_err,koi_model_snr,-0.7137332963410554
koi_model_snr,koi_dicco_mra_err,-0.7266649466901004
koi_dikco_mdec_err,koi_model_snr,-0.7347323002782619
koi_dikco_mra_err,koi_model_snr,-0.7427696346328632
koi_dikco_msky_err,koi_model_snr,-0.7446219258597665
koi_prad_err2,koi_prad,-0.8616879392759116
koi_prad_err1,koi_prad_err2,-0.9074901446705841
koi_dor_err2,koi_dor_err1,-1.0
koi_period_err1,koi_period_err2,-1.0
